[param : -s 0 -t 1 -c 1 -g 12.5 -r -10 -d 2, ACC = 97.72, MSE = 0.0612, SCC = 0.9695698589166051]
[param : -s 0 -t 1 -c 1 -g 12.5 -r -1 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 12.5 -r -0.1 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 12.5 -r 0 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 12.5 -r 0.1 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 12.5 -r 1 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 12.5 -r 10 -d 2, ACC = 97.72, MSE = 0.0632, SCC = 0.9685870226912304]
[param : -s 0 -t 1 -c 1 -g 12.5 -r 100 -d 2, ACC = 97.8, MSE = 0.0588, SCC = 0.9707785811956252]
[param : -s 0 -t 1 -c 1 -g 12.5 -r 1000 -d 2, ACC = 97.36, MSE = 0.0712, SCC = 0.9647250168950229]
[param : -s 0 -t 1 -c 1 -g 125.0 -r -1000 -d 2, ACC = 96.48, MSE = 0.116, SCC = 0.9427743916574989]
[param : -s 0 -t 1 -c 1 -g 125.0 -r -100 -d 2, ACC = 97.72, MSE = 0.0612, SCC = 0.9695698589166051]
[param : -s 0 -t 1 -c 1 -g 125.0 -r -10 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 125.0 -r -1 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 125.0 -r -0.1 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 125.0 -r 0 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
[param : -s 0 -t 1 -c 1 -g 125.0 -r 0.1 -d 2, ACC = 97.68, MSE = 0.0648, SCC = 0.9677862381298715]
